***************************************************************
Quartus is a registered trademark of Intel Corporation in the
US and other countries.  Portions of the Quartus Prime software
code, and other portions of the code included in this download
or on this DVD, are licensed to Intel Corporation and are the
copyrighted property of third parties. For license details,
refer to the End User License Agreement at
http://fpgasoftware.intel.com/eula.
***************************************************************

2023.03.08.08:34:12 Info: Doing: qsys-script --pro --quartus-project=none --cmd=source /tmp/arc_694086162/alt9424_4077773134413491667.dir/0100_hbm_0_gen/params.tcl --script=/nfs/site/disks/swbld_archive_3/acds/22.4/94/linux64/quartus/../ip/altera/hbm/ip_top/ex_design/make_qsys.tcl
2023.03.08.08:34:17 Info: create_system 
2023.03.08.08:34:17 Info: set_project_property DEVICE_FAMILY Stratix 10
2023.03.08.08:34:17 Info: Info: The device and speed grade is changed to the defaults of the device family, Stratix 10.
2023.03.08.08:34:17 Info: set_project_property DEVICE 1SM21CHU2F53E2VG
2023.03.08.08:34:17 Info: set_validation_property AUTOMATIC_VALIDATION false
2023.03.08.08:34:17 Info: add_instance hbm_0_example_design altera_hbm
2023.03.08.08:34:24 Info: add_instance tg0_0 altera_hbm_tg_avl
2023.03.08.08:34:26 Info: add_instance tg0_1 altera_hbm_tg_avl
2023.03.08.08:34:26 Info: set_instance_parameter_value hbm_0_example_design HARD_CTRL_CH0_HBM_TCKESR 7
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_0 HARD_CTRL_CH0_HBM_TCKESR 7
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_1 HARD_CTRL_CH0_HBM_TCKESR 7
2023.03.08.08:34:26 Info: set_instance_parameter_value hbm_0_example_design HARD_CTRL_CH0_CFG_TEMP110_OFF_TIME 255
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_0 HARD_CTRL_CH0_CFG_TEMP110_OFF_TIME 255
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_1 HARD_CTRL_CH0_CFG_TEMP110_OFF_TIME 255
2023.03.08.08:34:26 Info: set_instance_parameter_value hbm_0_example_design PHY_SW_2_SLAVE_1_SHARE_COUNT 0
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_0 PHY_SW_2_SLAVE_1_SHARE_COUNT 0
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_1 PHY_SW_2_SLAVE_1_SHARE_COUNT 0
2023.03.08.08:34:26 Info: set_instance_parameter_value hbm_0_example_design HARD_CTRL_CH0_CFG_PC0_CMD2RDEN 15
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_0 HARD_CTRL_CH0_CFG_PC0_CMD2RDEN 15
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_1 HARD_CTRL_CH0_CFG_PC0_CMD2RDEN 15
2023.03.08.08:34:26 Info: set_instance_parameter_value hbm_0_example_design HARD_CTRL_CH0_CFG_DENSITY 3
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_0 HARD_CTRL_CH0_CFG_DENSITY 3
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_1 HARD_CTRL_CH0_CFG_DENSITY 3
2023.03.08.08:34:26 Info: set_instance_parameter_value hbm_0_example_design PHY_CH7_EN false
2023.03.08.08:34:26 Info: set_instance_parameter_value hbm_0_example_design HARD_CTRL_CH0_CFG_WCQ_HWM 24
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_0 HARD_CTRL_CH0_CFG_WCQ_HWM 24
2023.03.08.08:34:26 Info: set_instance_parameter_value tg0_1 HARD_CTRL_CH0_CFG_WCQ_HWM 24
